"band"	"frequency_hz"	"time_s"	"mean_temperature_slope_db_per_c"	"n_subjects"
"alpha"	8	-0.7999999999999998	0.0031684097743274026	14
"alpha"	8	-0.75	-0.025424739354167336	14
"alpha"	8	-0.7000000000000002	-0.04725571723277051	14
"alpha"	8	-0.6499999999999995	-0.049131871704826545	14
"alpha"	8	-0.5999999999999996	-0.03133124071048917	14
"alpha"	8	-0.5499999999999998	0.003063240391204356	14
"alpha"	8	-0.5	0.0357526482388213	14
"alpha"	8	-0.4500000000000002	0.045060455740278456	14
"alpha"	8	-0.39999999999999947	0.03189460844663652	14
"alpha"	8	-0.34999999999999964	0.026334728959886804	14
"alpha"	8	-0.2999999999999998	0.03859681528984114	14
"alpha"	8	-0.25	0.03957919569742701	14
"alpha"	8	-0.1999999999999993	0.054361436057844124	14
"alpha"	8	-0.14999999999999947	0.06305336453315472	14
"alpha"	8	-0.09999999999999964	0.059725332302783145	14
"alpha"	8	-0.04999999999999982	0.07039694467817172	14
"alpha"	8	0	0.062175029155774476	14
"alpha"	8	0.05000000000000071	0.04829277402979271	14
"alpha"	8	0.10000000000000053	0.0513416907789654	14
"alpha"	8	0.15000000000000036	0.07880576464152288	14
"alpha"	8	0.20000000000000018	0.07848458117437516	14
"alpha"	8	0.25	0.05987741302728818	14
"alpha"	8	0.3000000000000007	0.035267839236826935	14
"alpha"	8	0.35000000000000053	0.004631400553063414	14
"alpha"	8	0.40000000000000036	0.0009173914333084661	14
"alpha"	8	0.4500000000000002	0.0067942016437276586	14
"alpha"	8	0.5	0.02502771831506245	14
"alpha"	8	0.5500000000000007	0.045253552620279344	14
"alpha"	8	0.6000000000000005	0.04421651275371944	14
"alpha"	8	0.6500000000000004	0.04122952990010951	14
"alpha"	8	0.7000000000000002	0.029440349877148213	14
"alpha"	8	0.75	0.022422092141933365	14
"alpha"	8	0.8000000000000007	0.01968363814514432	14
"alpha"	8	0.8500000000000005	0.015361536829453046	14
"alpha"	8	0.9000000000000004	0.01319710493585546	14
"alpha"	8	0.9500000000000002	0.012468894566171947	14
"alpha"	8	1	0.0019224711133035857	14
"alpha"	8	1.0500000000000007	-0.000900773632117126	14
"alpha"	8	1.1000000000000005	-0.0127029550785885	14
"alpha"	8	1.1500000000000004	-0.04637101265470971	14
"alpha"	8	1.2000000000000002	-0.08200091545458085	14
"alpha"	8	1.25	-0.09705693656147209	14
"alpha"	8	1.3000000000000007	-0.09393471232368793	14
"alpha"	8	1.3500000000000005	-0.07115427286380882	14
"alpha"	8	1.4000000000000004	-0.04800119703481749	14
"alpha"	8	1.4500000000000002	-0.019432018805239915	14
"alpha"	8	1.5	-0.0015608903860945822	14
"alpha"	8	1.5500000000000007	0.011161814314838722	14
"alpha"	8	1.6000000000000005	0.016476426339212046	14
"alpha"	8	1.6500000000000004	0.007255277636089864	14
"alpha"	8	1.7000000000000002	-0.005109737942753585	14
"alpha"	8	1.75	0.0015818983760770258	14
"alpha"	8	1.8000000000000007	0.007225877014797826	14
"alpha"	8	1.8500000000000005	0.015912904348233153	14
"alpha"	8	1.9000000000000004	0.009121229077440531	14
"alpha"	8	1.9500000000000002	-0.009121295963359732	14
"alpha"	8	2	-0.049672566997687136	14
"alpha"	8	2.0500000000000007	-0.09037988720488029	14
"alpha"	8	2.1000000000000005	-0.10822354400084086	14
"alpha"	8	2.1500000000000004	-0.10882809441583154	14
"alpha"	8	2.2	-0.10030218569539054	14
"alpha"	8	2.25	-0.08347129165371925	14
"alpha"	8	2.3000000000000007	-0.06458851293925567	14
"alpha"	8	2.3500000000000005	-0.043077552565201134	14
"alpha"	8	2.4000000000000004	-0.03606536938180026	14
"alpha"	8	2.45	-0.03689032603541432	14
"alpha"	8	2.5	-0.036354047914178934	14
"alpha"	8	2.5500000000000007	-0.056965822895600975	14
"alpha"	8	2.6000000000000005	-0.079723786811553	14
"alpha"	8	2.6500000000000004	-0.10672381183359758	14
"alpha"	8	2.7	-0.12588390039251893	14
"alpha"	8	2.75	-0.1489518044671291	14
"alpha"	8	2.8000000000000007	-0.1544227192621093	14
"alpha"	8	2.8500000000000005	-0.14766186255012034	14
"alpha"	8	2.9000000000000004	-0.12757291448177835	14
"alpha"	8	2.95	-0.11696507685491626	14
"alpha"	8	3	-0.1111093754382768	14
"alpha"	8	3.0500000000000007	-0.1120536104446481	14
"alpha"	8	3.0999999999999996	-0.11215058145497299	14
"alpha"	8	3.1500000000000004	-0.09680295622395005	14
"alpha"	8	3.200000000000001	-0.06870758657519464	14
"alpha"	8	3.25	-0.040153127222355846	14
"alpha"	8	3.3000000000000007	-0.02182467126876514	14
"alpha"	8	3.3499999999999996	-0.01531403961932428	14
"alpha"	8	3.4000000000000004	-0.017944158214536234	14
"alpha"	8	3.450000000000001	-0.03303591057943218	14
"alpha"	8	3.5	-0.05137785920692876	14
"alpha"	8	3.5500000000000007	-0.0911656815652196	14
"alpha"	8	3.5999999999999996	-0.11912118794631159	14
"alpha"	8	3.6500000000000004	-0.139902469661953	14
"alpha"	8	3.700000000000001	-0.13838875000328885	14
"alpha"	8	3.75	-0.13640439843092675	14
"alpha"	8	3.8000000000000007	-0.12059296768408423	14
"alpha"	8	3.8499999999999996	-0.10475715295255549	14
"alpha"	8	3.9000000000000004	-0.08951245673034443	14
"alpha"	8	3.950000000000001	-0.07302409880510649	14
"alpha"	8	4	-0.05566895259974671	14
"alpha"	8	4.050000000000001	-0.031524723740182385	14
"alpha"	8	4.1	-0.008546007926382443	14
"alpha"	8	4.15	0.016145889447901855	14
"alpha"	8	4.200000000000001	0.029202343758069526	14
"alpha"	8	4.25	0.028474395945562565	14
"alpha"	8	4.300000000000001	0.0014546016103496298	14
"alpha"	8	4.35	-0.01361040291993509	14
"alpha"	8	4.4	-0.007459939378023389	14
"alpha"	8	4.450000000000001	0.002300795905733855	14
"alpha"	8	4.5	-0.00941044270739777	14
"alpha"	8	4.550000000000001	-0.03547314081296788	14
"alpha"	8	4.600000000000001	-0.06674975283697901	14
"alpha"	8	4.65	-0.08636028448182731	14
"alpha"	8	4.700000000000001	-0.10140102377217171	14
"alpha"	8	4.75	-0.08972479153233573	14
"alpha"	8	4.800000000000001	-0.08085586360227667	14
"alpha"	8	4.850000000000001	-0.0789226086326851	14
"alpha"	8	4.9	-0.08288385755187834	14
"alpha"	8	4.950000000000001	-0.08731171695827586	14
"alpha"	8	5	-0.08179316435908401	14
"alpha"	8	5.050000000000001	-0.07043174934102919	14
"alpha"	8	5.100000000000001	-0.03370026796426941	14
"alpha"	8	5.15	-0.004243367315829817	14
"alpha"	8	5.200000000000001	0.015325863249843382	14
"alpha"	8	5.25	-0.002796303515407213	14
"alpha"	8	5.300000000000001	-0.023332855254049528	14
"alpha"	8	5.350000000000001	-0.046869618960652705	14
"alpha"	8	5.4	-0.04212195107191087	14
"alpha"	8	5.450000000000001	-0.025132201920373822	14
"alpha"	8	5.5	-0.011425624955770736	14
"alpha"	8	5.550000000000001	-0.007290155566565628	14
"alpha"	8	5.600000000000001	-0.02232101225956982	14
"alpha"	8	5.65	-0.06833388829447581	14
"alpha"	8	5.700000000000001	-0.09999113626507139	14
"alpha"	8	5.75	-0.109684498270006	14
"alpha"	8	5.800000000000001	-0.07444408547289041	14
"alpha"	8	5.850000000000001	-0.04317092091831988	14
"alpha"	8	5.9	-0.01989194489592175	14
"alpha"	8	5.950000000000001	-0.015299942597456881	14
"alpha"	8	6	-0.018224601301063424	14
"alpha"	8	6.050000000000001	-0.020927347965718063	14
"alpha"	8	6.100000000000001	-0.020451771288074894	14
"alpha"	8	6.15	-0.02861991225283758	14
"alpha"	8	6.200000000000001	-0.036735733176677346	14
"alpha"	8	6.25	-0.054632324414499625	14
"alpha"	8	6.300000000000001	-0.05590526065217478	14
"alpha"	8	6.350000000000001	-0.05731293755699542	14
"alpha"	8	6.4	-0.03595804830415376	14
"alpha"	8	6.450000000000001	-0.013439062100342816	14
"alpha"	8	6.5	-0.010229660138231178	14
"alpha"	8	6.550000000000001	-0.016834233785813797	14
"alpha"	8	6.600000000000001	-0.01806097485478771	14
"alpha"	8	6.65	-0.007479455126460509	14
"alpha"	8	6.700000000000001	0.015475843792280222	14
"alpha"	8	6.75	0.05543061461559412	14
"alpha"	8	6.800000000000001	0.08069394478475304	14
"alpha"	8	6.850000000000001	0.10603976630730703	14
"alpha"	8	6.9	0.12899342675433992	14
"alpha"	8	6.950000000000001	0.14572596469107818	14
"alpha"	8	7	0.13602588856214148	14
"alpha"	8	7.050000000000001	0.1447472617787713	14
"alpha"	8	7.100000000000001	0.15433050044658567	14
"alpha"	8	7.15	0.16574852241779148	14
"alpha"	8	7.200000000000001	0.1759943172863947	14
"alpha"	8	7.25	0.16627476303643451	14
"alpha"	8	7.300000000000001	0.1484026777354599	14
"alpha"	8	7.350000000000001	0.12423907796514708	14
"alpha"	8	7.4	0.11810090625846291	14
"alpha"	8	7.450000000000001	0.13528753983909486	14
"alpha"	8	7.5	0.15346430044049836	14
"alpha"	8	7.550000000000001	0.1637130967722975	14
"alpha"	8	7.600000000000001	0.16837295399204136	14
"alpha"	8	7.65	0.17079520184054522	14
"alpha"	8	7.700000000000001	0.1630409549259396	14
"alpha"	8	7.75	0.13465221301854854	14
"alpha"	8	7.800000000000001	0.1070669363678063	14
"alpha"	8	7.850000000000001	0.0722161716418687	14
"alpha"	8	7.9	0.04022522151786823	14
"alpha"	8	7.950000000000001	0.03153114615196565	14
"alpha"	8	8	0.021839020852204204	14
"alpha"	8	8.05	0.03715435224144077	14
"alpha"	8	8.100000000000001	0.06526364085850081	14
"alpha"	8	8.15	0.08531877952001388	14
"alpha"	8	8.200000000000001	0.10226346003008156	14
"alpha"	8	8.25	0.12558436889398356	14
"alpha"	8	8.3	0.1548257455012438	14
"alpha"	8	8.350000000000001	0.16081240513486353	14
"alpha"	8	8.4	0.16762566688357097	14
"alpha"	8	8.450000000000001	0.1600079074892812	14
"alpha"	8	8.5	0.13619393695233964	14
"alpha"	8	8.55	0.11989648837345661	14
"alpha"	8	8.600000000000001	0.109492896303572	14
"alpha"	8	8.65	0.09402137281080984	14
"alpha"	8	8.700000000000001	0.08276885812664014	14
"alpha"	8	8.75	0.07381872282240998	14
"alpha"	8	8.8	0.09136043133846158	14
"alpha"	8	8.850000000000001	0.11824371917750999	14
"alpha"	8	8.9	0.1254180403890636	14
"alpha"	8	8.950000000000001	0.12601741806614333	14
"alpha"	8	9	0.13322816782496502	14
"alpha"	8	9.05	0.13709515891167987	14
"alpha"	8	9.100000000000001	0.14032683341522117	14
"alpha"	8	9.15	0.1657415424099121	14
"alpha"	8	9.200000000000001	0.19509618517540567	14
"alpha"	8	9.25	0.19725482115519946	14
"alpha"	8	9.3	0.22091131960663965	14
"alpha"	8	9.350000000000001	0.24557853086131587	14
"alpha"	8	9.4	0.25415947381039683	14
"alpha"	8	9.450000000000001	0.2409133918363718	14
"alpha"	8	9.5	0.21155604171145412	14
"alpha"	8	9.55	0.17986294229930908	14
"alpha"	8	9.600000000000001	0.157992850293226	14
"alpha"	8	9.65	0.15769218474548824	14
"alpha"	8	9.700000000000001	0.1604199423699016	14
"alpha"	8	9.75	0.18777901497591923	14
"alpha"	8	9.8	0.20243550392393608	14
"alpha"	8	9.850000000000001	0.20731301148542622	14
"alpha"	8	9.9	0.20871310922324332	14
"alpha"	8	9.950000000000001	0.20763080715121404	14
"alpha"	8	10	0.18524374075347308	14
"alpha"	8	10.05	0.17912182355619072	14
"alpha"	8	10.100000000000001	0.1619071709317807	14
"alpha"	8	10.15	0.14962650693892737	14
"alpha"	8	10.200000000000001	0.15970154530469302	14
"alpha"	8	10.25	0.2008167456557461	14
"alpha"	8	10.3	0.21773619452715906	14
"alpha"	8	10.350000000000001	0.20737231943178047	14
"alpha"	8	10.4	0.19039194007237414	14
"alpha"	8	10.450000000000001	0.17238273949127292	14
"alpha"	8	10.5	0.16886201506532902	14
"alpha"	8	10.55	0.20813966089237526	14
"alpha"	8	10.600000000000001	0.24559763485681302	14
"alpha"	8	10.65	0.2638042716647641	14
"alpha"	8	10.700000000000001	0.27576615889092615	14
"alpha"	8	10.75	0.3029561539623054	14
"alpha"	8	10.8	0.31756535340687103	14
"alpha"	8	10.850000000000001	0.27890146669460336	14
"alpha"	8	10.9	0.23907753081848634	14
"alpha"	8	10.950000000000001	0.2058734452509734	14
"alpha"	8	11	0.18348848212320634	14
"alpha"	8	11.05	0.15175364360543453	14
"alpha"	8	11.100000000000001	0.13244693211525269	14
"alpha"	8	11.150000000000002	0.1283241674921032	14
"alpha"	8	11.2	0.11608069529554207	14
"alpha"	8	11.25	0.11055110405281433	14
"alpha"	8	11.3	0.12987382295050062	14
"alpha"	8	11.350000000000001	0.15369520005115128	14
"alpha"	8	11.400000000000002	0.17777465783981855	14
"alpha"	8	11.45	0.18611875151306076	14
"alpha"	8	11.5	0.15832481146918756	14
"alpha"	8	11.55	0.1291579917484489	14
"alpha"	8	11.600000000000001	0.10019125150854927	14
"alpha"	8	11.650000000000002	0.08595870928849798	14
"alpha"	8	11.7	0.06720591390095902	14
"alpha"	8	11.75	0.05121904150081667	14
"alpha"	8	11.8	0.034502110827007146	14
"alpha"	8	11.850000000000001	0.022588482728998643	14
"alpha"	8	11.900000000000002	0.04875775688849238	14
"alpha"	8	11.95	0.07551940400161349	14
"alpha"	8	12	0.07191179267320777	14
"alpha"	8	12.05	0.07556435606370022	14
"alpha"	8	12.100000000000001	0.1011602705598692	14
"alpha"	8	12.150000000000002	0.12137628337467773	14
"alpha"	8	12.2	0.13755633887874122	14
"alpha"	8	12.25	0.1557151157763783	14
"alpha"	8	12.3	0.1701982488444582	14
"alpha"	8	12.350000000000001	0.1545248728851598	14
"alpha"	8	12.400000000000002	0.12871455465233247	14
"alpha"	8	12.45	0.1128374137022324	14
"alpha"	8	12.5	0.10781126416332709	14
"alpha"	8	12.55	0.08296800255005587	14
"alpha"	8	12.600000000000001	0.06129557281635077	14
"alpha"	8	12.650000000000002	0.030589548554182017	14
"alpha"	8	12.7	0.003909648137077369	14
"alpha"	8	12.75	-0.02281195216389024	14
"alpha"	8	12.8	0.002846056340046096	14
"alpha"	8	12.850000000000001	0.07743627771492072	14
"alpha"	8	12.900000000000002	0.1417923407503965	14
"alpha"	8	12.95	0.1717417849265169	14
"alpha"	8	13	0.18817349181654	14
"alpha"	8	13.05	0.197042717122317	14
"alpha"	8	13.100000000000001	0.20987296195325428	14
"alpha"	8	13.150000000000002	0.22291215102977915	14
"alpha"	8	13.2	0.24246275069274723	14
"alpha"	8	13.25	0.24592299290648784	14
"alpha"	8	13.3	0.24584595294308306	14
"alpha"	8	13.350000000000001	0.23056184023541698	14
"alpha"	8	13.400000000000002	0.23364976777036042	14
"alpha"	8	13.45	0.25297129603463014	14
"alpha"	8	13.5	0.26235441206831844	14
"alpha"	8	13.55	0.2539152746652359	14
"alpha"	8	13.600000000000001	0.22655432871141182	14
"alpha"	8	13.650000000000002	0.19320280345042942	14
"alpha"	8	13.7	0.16521891650970857	14
"alpha"	8	13.75	0.15686382955859512	14
"alpha"	8	13.8	0.14956917240784368	14
"alpha"	8	13.850000000000001	0.13283324628866466	14
"alpha"	8	13.900000000000002	0.11866353778618019	14
"alpha"	8	13.95	0.10971947083491429	14
"alpha"	8	14	0.10216869963213052	14
"alpha"	8	14.05	0.10813646635631903	14
"alpha"	8	14.100000000000001	0.12698001210228474	14
"alpha"	8	14.150000000000002	0.12401137766032792	14
"alpha"	8	14.200000000000003	0.13230761318938128	14
"alpha"	8	14.25	0.14331251171374357	14
"alpha"	8	14.3	0.13774044553597983	14
"alpha"	8	14.350000000000001	0.11879865126859182	14
"alpha"	8	14.400000000000002	0.10617524680372693	14
"alpha"	8	14.450000000000003	0.0728849722990217	14
"alpha"	8	14.5	0.03477064252386763	14
"alpha"	9	-5	-0.15104636983795214	14
"alpha"	9	-4.95	-0.15464620117979347	14
"alpha"	9	-4.9	-0.16915090616315792	14
"alpha"	9	-4.85	-0.16913086265302588	14
"alpha"	9	-4.8	-0.16647381554859875	14
"alpha"	9	-4.75	-0.14964962213543892	14
"alpha"	9	-4.7	-0.1255860865949864	14
"alpha"	9	-4.65	-0.10135232928454327	14
"alpha"	9	-4.6	-0.06375696035062149	14
"alpha"	9	-4.55	-0.04812262045739405	14
"alpha"	9	-4.5	-0.03930035076174494	14
"alpha"	9	-4.45	-0.041509460156405005	14
"alpha"	9	-4.4	-0.04850182551542508	14
"alpha"	9	-4.35	-0.04635508748246573	14
"alpha"	9	-4.3	-0.05843925616193156	14
"alpha"	9	-4.25	-0.0710128682765676	14
"alpha"	9	-4.2	-0.08306093848034346	14
"alpha"	9	-4.15	-0.06174226775246026	14
"alpha"	9	-4.1	-0.0390814853823787	14
"alpha"	9	-4.05	0.000744505320764752	14
"alpha"	9	-4	0.04231881232575252	14
"alpha"	9	-3.95	0.08670238984181719	14
"alpha"	9	-3.9	0.105130047540493	14
"alpha"	9	-3.8499999999999996	0.12254429365741262	14
"alpha"	9	-3.8	0.1311404109652846	14
"alpha"	9	-3.75	0.1407121665145074	14
"alpha"	9	-3.7	0.15206062346210827	14
"alpha"	9	-3.65	0.1571904932418494	14
"alpha"	9	-3.5999999999999996	0.13727445789083018	14
"alpha"	9	-3.55	0.09795370032809055	14
"alpha"	9	-3.5	0.055156515893390996	14
"alpha"	9	-3.45	0.016632157089261797	14
"alpha"	9	-3.4	0.0014591428274415722	14
"alpha"	9	-3.3499999999999996	-0.02343660786088155	14
"alpha"	9	-3.3	-0.061702628441643495	14
"alpha"	9	-3.25	-0.08172036220909028	14
"alpha"	9	-3.2	-0.09305697808220506	14
"alpha"	9	-3.15	-0.06221177377033852	14
"alpha"	9	-3.0999999999999996	-0.005801447138667611	14
"alpha"	9	-3.05	0.045720242532717704	14
"alpha"	9	-3	0.09376140574455183	14
"alpha"	9	-2.9499999999999997	0.127953587571441	14
"alpha"	9	-2.9	0.1421467674193911	14
"alpha"	9	-2.85	0.13653274803608803	14
"alpha"	9	-2.8	0.11032716336289597	14
"alpha"	9	-2.75	0.08925156812280896	14
"alpha"	9	-2.6999999999999997	0.08088603605846922	14
"alpha"	9	-2.65	0.0722722996053022	14
"alpha"	9	-2.5999999999999996	0.06028238989079946	14
"alpha"	9	-2.55	0.04856785288273097	14
"alpha"	9	-2.5	0.02688067544130901	14
"alpha"	9	-2.4499999999999997	0.006610937966990131	14
"alpha"	9	-2.4	-0.009658326967699794	14
"alpha"	9	-2.3499999999999996	-0.01370809407025462	14
"alpha"	9	-2.3	-0.022377066937974675	14
"alpha"	9	-2.25	-0.024388297405116888	14
"alpha"	9	-2.1999999999999997	-0.03658392129956994	14
"alpha"	9	-2.15	-0.05696425276012973	14
"alpha"	9	-2.0999999999999996	-0.0717533103618045	14
"alpha"	9	-2.05	-0.059867118030970286	14
"alpha"	9	-2	-0.015892920000667228	14
"alpha"	9	-1.9499999999999997	0.007952479082845267	14
"alpha"	9	-1.9	0.023656938731533645	14
"alpha"	9	-1.8499999999999996	0.03800492048029718	14
"alpha"	9	-1.7999999999999998	0.02918237315467126	14
"alpha"	9	-1.75	0.014228984129328002	14
"alpha"	9	-1.6999999999999997	-0.018473579188761104	14
"alpha"	9	-1.65	-0.0638939345044058	14
"alpha"	9	-1.5999999999999996	-0.10993929867839272	14
"alpha"	9	-1.5499999999999998	-0.137584358189684	14
"alpha"	9	-1.5	-0.13969436488719367	14
"alpha"	9	-1.4499999999999997	-0.1061963706243259	14
"alpha"	9	-1.4	-0.07783152630650089	14
"alpha"	9	-1.3499999999999996	-0.06582449556463417	14
"alpha"	9	-1.2999999999999998	-0.06863285601908316	14
"alpha"	9	-1.25	-0.09639143791012109	14
"alpha"	9	-1.1999999999999997	-0.11553582228955372	14
"alpha"	9	-1.15	-0.12963584626469973	14
"alpha"	9	-1.0999999999999996	-0.1178046822201441	14
"alpha"	9	-1.0499999999999998	-0.08035566033435364	14
"alpha"	9	-1	-0.045427275229680986	14
"alpha"	9	-0.9500000000000002	-0.024253900062737508	14
"alpha"	9	-0.8999999999999995	-0.016596004657588724	14
"alpha"	9	-0.8499999999999996	-0.02135018715467975	14
"alpha"	9	-0.7999999999999998	-0.03201232982644139	14
"alpha"	9	-0.75	-0.040126897184446626	14
"alpha"	9	-0.7000000000000002	-0.04983855380412324	14
"alpha"	9	-0.6499999999999995	-0.06033318551279619	14
"alpha"	9	-0.5999999999999996	-0.05250355736723976	14
"alpha"	9	-0.5499999999999998	-0.04922715920515429	14
"alpha"	9	-0.5	-0.03881416658382635	14
"alpha"	9	-0.4500000000000002	-0.020589554237858767	14
"alpha"	9	-0.39999999999999947	-0.0014578086505316553	14
"alpha"	9	-0.34999999999999964	0.028549075891591353	14
"alpha"	9	-0.2999999999999998	0.05390310470066491	14
"alpha"	9	-0.25	0.08253550193720682	14
"alpha"	9	-0.1999999999999993	0.0897832482474948	14
"alpha"	9	-0.14999999999999947	0.07489432356670458	14
"alpha"	9	-0.09999999999999964	0.03826674036654516	14
"alpha"	9	-0.04999999999999982	-0.023244858326603366	14
"alpha"	9	0	-0.08587765708591082	14
"alpha"	9	0.05000000000000071	-0.11306635097082975	14
"alpha"	9	0.10000000000000053	-0.1198254898869886	14
"alpha"	9	0.15000000000000036	-0.08238511377707217	14
"alpha"	9	0.20000000000000018	-0.029026275386287475	14
"alpha"	9	0.25	-0.0018912865097939688	14
"alpha"	9	0.3000000000000007	0.00015432623849650256	14
"alpha"	9	0.35000000000000053	-0.009131954807232997	14
"alpha"	9	0.40000000000000036	-0.023351303004079286	14
"alpha"	9	0.4500000000000002	-0.016665710713627654	14
"alpha"	9	0.5	0.013447672432588018	14
"alpha"	9	0.5500000000000007	0.03477343015963156	14
"alpha"	9	0.6000000000000005	0.05253490358795333	14
"alpha"	9	0.6500000000000004	0.06031132448882889	14
"alpha"	9	0.7000000000000002	0.04585302295027124	14
"alpha"	9	0.75	0.020379925489177962	14
"alpha"	9	0.8000000000000007	-0.009904058465421741	14
"alpha"	9	0.8500000000000005	-0.03368113171825334	14
"alpha"	9	0.9000000000000004	-0.01249632311975772	14
"alpha"	9	0.9500000000000002	0.0030798148954659615	14
"alpha"	9	1	-0.004039902653282975	14
"alpha"	9	1.0500000000000007	-0.037474448295742424	14
"alpha"	9	1.1000000000000005	-0.06771014981364953	14
"alpha"	9	1.1500000000000004	-0.0837951102620887	14
"alpha"	9	1.2000000000000002	-0.09092415091281766	14
"alpha"	9	1.25	-0.10617344327692546	14
"alpha"	9	1.3000000000000007	-0.1234336573477252	14
"alpha"	9	1.3500000000000005	-0.12751852700248428	14
"alpha"	9	1.4000000000000004	-0.09205820247679378	14
"alpha"	9	1.4500000000000002	-0.060067325477187246	14
"alpha"	9	1.5	-0.036629945060595394	14
"alpha"	9	1.5500000000000007	-0.025444778297365172	14
"alpha"	9	1.6000000000000005	-0.017194574013244236	14
"alpha"	9	1.6500000000000004	-0.009007943604784305	14
"alpha"	9	1.7000000000000002	0.008002201972924157	14
"alpha"	9	1.75	0.015928211351065424	14
"alpha"	9	1.8000000000000007	0.0246958923566531	14
"alpha"	9	1.8500000000000005	0.024099096856471693	14
"alpha"	9	1.9000000000000004	0.004402865861268925	14
"alpha"	9	1.9500000000000002	-0.021936511739831046	14
"alpha"	9	2	-0.056711801511027886	14
"alpha"	9	2.0500000000000007	-0.07106212177423853	14
